Date,GC=F,SI=F,PL=F,HG=F,PA=F,CL=F,ZC=F,ZO=F,KE=F,ZR=F,ZM=F,ZL=F,ZS=F,GF=F,HE=F,LE=F,CC=F,KC=F,CT=F,SB=F
2020-03-16,1485.9000244140625,12.772000312805176,656.7000122070312,2.3984999656677246,1544.199951171875,28.700000762939453,354.75,259.5,423.75,1361.5,296.29998779296875,24.989999771118164,821.75,108.5,53.974998474121094,91.8499984741211,2388.0,103.9000015258789,58.79999923706055,11.09000015258789
2020-03-17,1524.9000244140625,12.468999862670898,664.4000244140625,2.315500020980835,1539.699951171875,26.950000762939453,344.0,253.5,432.25,1395.0,298.29998779296875,25.239999771118164,824.25,113.55000305175781,58.474998474121094,96.3499984741211,2318.0,102.9000015258789,57.91999816894531,10.890000343322754
2020-03-18,1477.300048828125,11.734999656677246,604.0999755859375,2.1605000495910645,1449.9000244140625,20.3700008392334,335.25,255.25,446.5,1429.0,304.0,25.040000915527344,825.5,112.57499694824219,58.150001525878906,92.0999984741211,2284.0,108.05000305175781,56.63999938964844,10.670000076293945
2020-03-19,1478.5999755859375,12.097000122070312,595.9000244140625,2.200000047683716,1559.5,25.219999313354492,345.5,261.25,465.5,1392.0,314.79998779296875,25.479999542236328,843.25,117.07499694824219,61.150001525878906,95.0999984741211,2216.0,116.6500015258789,54.93000030517578,10.59000015258789
2020-03-20,1484.0,12.348999977111816,621.5999755859375,2.190500020980835,1570.300048828125,22.43000030517578,343.75,262.0,469.0,1328.5,325.20001220703125,25.639999389648438,862.5,120.7249984741211,61.57500076293945,98.6500015258789,2230.0,119.69999694824219,53.68000030517578,10.90999984741211
2020-03-23,1567.0,13.225000381469727,627.5,2.119499921798706,1587.0,23.360000610351562,343.5,268.5,489.5,1323.5,333.6000061035156,26.139999389648438,884.0,125.2249984741211,64.57499694824219,101.6500015258789,2257.0,121.25,52.150001525878906,11.039999961853027
2020-03-24,1660.199951171875,14.229000091552734,701.7000122070312,2.197499990463257,1817.0,24.010000228881836,347.25,269.5,490.75,1328.0,332.1000061035156,26.549999237060547,886.75,130.22500610351562,66.42500305175781,106.1500015258789,2275.0,125.5999984741211,52.88999938964844,11.270000457763672
2020-03-25,1632.300048828125,14.836999893188477,745.5,2.2339999675750732,2277.699951171875,24.489999771118164,348.5,266.0,501.0,1362.5,321.70001220703125,26.639999389648438,881.5,132.0749969482422,65.8499984741211,108.44999694824219,2248.0,129.9499969482422,53.439998626708984,11.40999984741211
2020-03-26,1650.0999755859375,14.640000343322754,737.0,2.2079999446868896,2256.199951171875,22.600000381469727,348.75,261.0,487.25,1377.0,322.8999938964844,26.5,880.25,130.8000030517578,62.900001525878906,105.44999694824219,2255.0,124.6500015258789,52.779998779296875,11.329999923706055
2020-03-27,1623.9000244140625,14.498000144958496,740.0,2.197000026702881,2226.800048828125,21.510000228881836,346.0,265.5,486.75,1397.0,323.1000061035156,26.850000381469727,881.5,120.5999984741211,58.45000076293945,100.94999694824219,2257.0,115.8499984741211,51.33000183105469,11.100000381469727
2020-03-30,1622.0,14.074000358581543,723.9000244140625,2.1619999408721924,2226.10009765625,20.09000015258789,341.25,261.5,486.75,1409.5,325.5,26.8700008392334,882.25,120.05000305175781,53.95000076293945,99.19999694824219,2265.0,119.30000305175781,50.70000076293945,10.729999542236328
2020-03-31,1583.4000244140625,14.097999572753906,724.4000244140625,2.240000009536743,2333.300048828125,20.479999542236328,340.75,264.25,493.0,1403.5,321.5,27.010000228881836,886.0,121.92500305175781,52.20000076293945,101.82499694824219,2249.0,119.55000305175781,51.130001068115234,10.420000076293945
2020-04-01,1578.199951171875,13.925999641418457,712.2999877929688,2.191999912261963,2169.300048828125,20.309999465942383,334.75,260.25,475.0,1405.5,314.8999938964844,26.049999237060547,862.75,117.42500305175781,49.20000076293945,97.32499694824219,2227.0,116.0,48.40999984741211,10.039999961853027
2020-04-02,1625.699951171875,14.595999717712402,726.0,2.2330000400543213,2150.199951171875,25.31999969482422,333.5,264.5,464.0,1424.5,309.1000061035156,26.239999771118164,858.75,110.67500305175781,44.70000076293945,92.82499694824219,2285.0,119.3499984741211,49.9900016784668,10.289999961853027
2020-04-03,1633.699951171875,14.435999870300293,714.0999755859375,2.2100000381469727,2134.5,28.34000015258789,330.75,272.75,472.0,1455.0,303.20001220703125,26.43000030517578,854.25,108.25,40.224998474121094,88.32499694824219,2264.0,114.9000015258789,50.97999954223633,10.3100004196167
2020-04-06,1677.0,15.111000061035156,728.0,2.234999895095825,2105.300048828125,26.079999923706055,327.75,273.5,475.75,1468.0,297.0,26.829999923706055,855.5,110.42500305175781,41.125,83.82499694824219,2366.0,116.6500015258789,53.04999923706055,10.449999809265137
2020-04-07,1664.800048828125,15.42199993133545,741.0,2.2885000705718994,2122.800048828125,23.6299991607666,331.5,274.25,473.25,1434.0,293.79998779296875,27.479999542236328,854.75,114.92500305175781,44.125,88.32499694824219,2410.0,119.9000015258789,52.900001525878906,10.380000114440918
2020-04-08,1665.4000244140625,15.147000312805176,729.5999755859375,2.2780001163482666,2123.699951171875,25.09000015258789,330.0,275.5,478.0,1431.5,292.79998779296875,27.18000030517578,854.5,119.875,43.125,92.82499694824219,2379.0,119.80000305175781,53.84000015258789,10.369999885559082
2020-04-09,1736.199951171875,15.994999885559082,744.5999755859375,2.2774999141693115,2138.5,22.760000228881836,331.75,274.25,492.0,1452.0,292.5,27.40999984741211,863.5,119.5250015258789,42.79999923706055,94.0,2305.0,118.5999984741211,54.369998931884766,10.430000305175781
