Date,^GSPC,^DJI,^IXIC,^RUT,^VIX,399001.SZ
2020-10-28,3271.030029296875,26519.94921875,11004.8701171875,1543.280029296875,40.279998779296875,13388.099609375
2020-10-29,3310.110107421875,26659.109375,11185.58984375,1561.5799560546875,37.59000015258789,13519.66015625
2020-10-30,3269.9599609375,26501.599609375,10911.58984375,1538.47998046875,38.02000045776367,13236.599609375
2020-11-02,3310.239990234375,26925.05078125,10957.6103515625,1568.5899658203125,37.130001068115234,13420.9599609375
2020-11-03,3369.159912109375,27480.029296875,11160.5703125,1614.300048828125,35.54999923706055,13580.0400390625
2020-11-04,3443.43994140625,27847.66015625,11590.7802734375,1615.0799560546875,29.56999969482422,13659.5
2020-11-05,3510.449951171875,28390.1796875,11890.9296875,1660.050048828125,27.579999923706055,13894.259765625
2020-11-06,3509.43994140625,28323.400390625,11895.23046875,1648.260009765625,24.860000610351562,13838.419921875
2020-11-09,3550.5,29157.970703125,11713.7802734375,1705.0400390625,25.75,14141.150390625
2020-11-10,3545.530029296875,29420.919921875,11553.8603515625,1737.010009765625,24.799999237060547,13993.33984375
2020-11-11,3572.659912109375,29397.630859375,11786.4296875,1736.93994140625,23.450000762939453,13720.169921875
2020-11-12,3537.010009765625,29080.169921875,11709.58984375,1708.469970703125,25.350000381469727,13792.0703125
2020-11-13,3585.14990234375,29479.810546875,11829.2900390625,1744.0400390625,23.100000381469727,13754.5498046875
2020-11-16,3626.909912109375,29950.439453125,11924.1298828125,1785.3399658203125,22.450000762939453,13850.830078125
2020-11-17,3609.530029296875,29783.349609375,11899.33984375,1791.9100341796875,22.709999084472656,13732.51953125
2020-11-18,3567.7900390625,29438.419921875,11801.599609375,1769.3199462890625,23.84000015258789,13658.2001953125
2020-11-19,3581.8701171875,29483.23046875,11904.7099609375,1784.1300048828125,23.110000610351562,13777.4501953125
2020-11-20,3557.5400390625,29263.48046875,11854.9697265625,1785.3399658203125,23.700000762939453,13852.419921875
2020-11-23,3577.590087890625,29591.26953125,11880.6298828125,1818.300048828125,22.65999984741211,13955.2802734375
2020-11-24,3635.409912109375,30046.240234375,12036.7900390625,1853.530029296875,21.639999389648438,13902.5400390625
2020-11-25,3629.64990234375,29872.470703125,12094.400390625,1845.02001953125,21.25,13656.08984375
2020-11-27,3638.35009765625,29910.369140625,12205.849609375,1855.27001953125,20.84000015258789,13690.8798828125
2020-11-30,3621.6298828125,29638.640625,12198.740234375,1819.8199462890625,20.56999969482422,13670.1103515625
2020-12-01,3662.449951171875,29823.919921875,12355.1103515625,1836.050048828125,20.770000457763672,13930.3701171875
2020-12-02,3669.010009765625,29883.7890625,12349.3701171875,1838.030029296875,21.170000076293945,13961.580078125
2020-12-03,3666.719970703125,29969.51953125,12377.1796875,1848.699951171875,21.280000686645508,13970.6796875
2020-12-04,3699.1201171875,30218.259765625,12464.23046875,1892.449951171875,20.790000915527344,14026.66015625
2020-12-07,3691.9599609375,30069.7890625,12519.9501953125,1891.25,21.299999237060547,13973.48046875
2020-12-08,3702.25,30173.880859375,12582.76953125,1917.780029296875,20.68000030517578,13973.8896484375
2020-12-09,3672.820068359375,30068.810546875,12338.9501953125,1902.1500244140625,22.270000457763672,13716.5302734375
2020-12-10,3668.10009765625,29999.259765625,12405.8095703125,1922.699951171875,22.520000457763672,13731.33984375
2020-12-11,3663.4599609375,30046.369140625,12377.8701171875,1911.699951171875,23.309999465942383,13555.1396484375
2020-12-14,3647.489990234375,29861.55078125,12440.0400390625,1913.8599853515625,24.719999313354492,13692.1298828125
2020-12-15,3694.6201171875,30199.310546875,12595.0595703125,1959.760009765625,22.889999389648438,13763.3095703125
2020-12-16,3701.169921875,30154.5390625,12658.1904296875,1952.719970703125,22.5,13751.08984375
2020-12-17,3722.47998046875,30303.369140625,12764.75,1978.050048828125,21.93000030517578,13889.8701171875
2020-12-18,3709.409912109375,30179.05078125,12755.6396484375,1969.989990234375,21.56999969482422,13854.1201171875
2020-12-21,3694.919921875,30216.44921875,12742.51953125,1970.3299560546875,25.15999984741211,14134.849609375
2020-12-22,3687.260009765625,30015.509765625,12807.919921875,1989.8800048828125,24.229999542236328,13882.2998046875
2020-12-23,3690.010009765625,30129.830078125,12771.1103515625,2007.0999755859375,23.309999465942383,14015.01953125
2020-12-24,3703.06005859375,30199.869140625,12804.73046875,2003.949951171875,21.530000686645508,13915.5703125
2020-12-28,3735.360107421875,30403.970703125,12899.419921875,1996.25,21.700000762939453,14044.099609375
2020-12-29,3727.0400390625,30335.669921875,12850.2197265625,1959.3599853515625,23.079999923706055,13970.2099609375
2020-12-30,3732.0400390625,30409.560546875,12870.0,1979.989990234375,22.770000457763672,14201.5703125
2020-12-31,3756.070068359375,30606.48046875,12888.2802734375,1974.8599853515625,22.75,14470.6796875
2021-01-04,3700.64990234375,30223.890625,12698.4501953125,1945.9100341796875,26.969999313354492,14827.4697265625
2021-01-05,3726.860107421875,30391.599609375,12818.9599609375,1979.1099853515625,25.34000015258789,15147.5703125
2021-01-06,3748.139892578125,30829.400390625,12740.7900390625,2057.919921875,25.06999969482422,15187.6103515625
