"","nombres","omega","alfa","beta","a","b"
"274","IHG",0.115149086470475,0.0854888355745188,0.901169631028797,0.0350695567209625,0.931111259162011
"275","MTN",0.15429152056765,0.0856416269283831,0.895680785533046,0.0508684472888968,0.770601249593613
"276","AAP",0.139356485491634,0.0877907515514258,0.876530627212146,0.0598611165910978,0.86857901789494
"277","BWA",0.13740398997895,0.0606527610335921,0.919389024868188,0.0309198114252127,0.950193331954699
"278","MHK",0.40084989803739,0.121461382613373,0.842958774189011,0.0207425533507367,0.957965576638505
"279","FIVE",1.19404484928623,0.207623523244395,0.653778741208718,0.0310202016630954,0.932208990226698
"280","FND",0.265404205893187,0.0752278635445438,0.896738749116055,0.0443196287386875,0.909146881051613
"281","WSM",1.22132494859947,0.153104657842397,0.753969722680929,0.0501046925921945,0.907836858089734
"282","RH",0.665718400412124,0.156538015715155,0.805243636786296,0.0180634065738699,0.970183081885277
"283","SFIX",1.44500707448767,0.048871208849729,0.889363587081088,0.0447814630602413,0.902023052558946
"284","LEA",0.456707464133351,0.141575070395743,0.795253096248695,0.0296170301540728,0.931436553453072
"285","TPR",0.381152000394533,0.109256532323361,0.863044436648871,0.0779871831457085,0.832525042246612
"286","BFAM",0.503372741449466,0.164053393974478,0.806444735334136,0.023440422436523,0.959852664364239
"287","SCI",0.159599172309345,0.148640246650089,0.846203060242758,0.0355810704609866,0.902932727811987
"288","ARMK",0.333413694536777,0.198674475148134,0.787847164637093,0.042832827369931,0.897782462903555
"289","ATR",0.209151169818628,0.154080161021868,0.789080802302013,0.0677237161404337,0.789365198250609
"290","LAD",0.152606464527999,0.0410969026940269,0.948181486039612,0.0178171576570079,0.955200155621637
"291","DECK",0.609268838168147,0.157924059696974,0.77142180708433,0.0444339197653021,0.894662222474269
"292","GNTX",0.191808480007298,0.132109584573393,0.809182672559792,0.0688654385227875,0.888209155684728
"293","LEVI",0.680775019940249,0.172622235824656,0.758291571236924,0.0590277375342478,0.900687307913395
"294","WMT",0.178840540264575,0.216929570477,0.708844611000093,0.0219732208523861,0.912183155638986
"295","PG",0.113931805832801,0.215492066586908,0.713627658316007,0.0835553434762494,0.805787970231204
"296","KO",0.0480454092958708,0.145283038506132,0.853715038296754,0.07230420065043,0.865228004186522
"297","PEP",0.105675602608362,0.161861481524626,0.785772918291164,0.0874827094774931,0.812144885109223
"298","UL",0.134666323543084,0.173901570449561,0.812158271191647,0.0526434272475039,0.894626396973713
"299","COST",0.242575246411194,0.242032215816976,0.629954585943663,0.0672006074140163,0.712103727159074
"300","BUD",0.184590576796329,0.144590700262273,0.854409229940509,0.0661595822895957,0.799842983906893
"301","PM",0.110710914209964,0.127870661248358,0.836662122432938,0.029971464607898,0.909895390582239
"302","TGT",0.209528920420668,0.135370023043499,0.820484810894846,0.12405521304986,0.710462210534882
"303","DEO",0.106950635683118,0.217972106940676,0.781027686564391,0.0317996034386397,0.91247399217698
"304","EL",0.3091328715813,0.20365867150365,0.753548294850904,0.246001985085785,0.22361301321585
"305","BTI",0.078324874754225,0.112123957357984,0.868238536447579,0.0322438144426422,0.941169809573871
"306","MDLZ",0.191687293778817,0.217561441996131,0.724862130106916,0.112556083741848,0.80437183910512
"307","MO",0.26192205798673,0.217621074538899,0.714487529771593,0.137256760125311,0.750205918900842
"308","CL",0.174928422947723,0.254463213868737,0.655206059982881,0.0750030684511923,0.829060291715641
"309","DG",0.157795804689754,0.125337977896351,0.81370534949109,0.00940861947793672,0.927819295264855
"310","TAL",3.66776075476482,0.337044550058646,0.612929494707537,0.0144625247703775,0.983035425105187
"311","MNST",0.224946384246813,0.176923108532158,0.784881154432814,0.115828807949951,0.805773718731568
"312","KMB",0.272327416339673,0.281922860659991,0.593669353795126,0.0350710028620727,0.930878434895486
"313","KDP",0.19621245458955,0.162902264907108,0.747821269736983,0.182091723375183,0.284773255053663
"314","STZ",0.10250650823025,0.15271261773261,0.827446443713261,0.107446244721296,0.734246124843288
"315","KHC",0.126472136729885,0.120872222023707,0.856602943922284,0.0360684623581748,0.919345743307814
"316","SYY",0.2676780314216,0.207460026745216,0.78712170961465,0.0422106303925519,0.917975252738956
"317","GIS",0.32408775301608,0.181738968288449,0.674463542690628,0.0581183559619235,0.80872766375328
"318","BF-B",0.182299165989096,0.156429858795135,0.803917250433104,0.0396959237526355,0.913937763604456
"319","BF-A",0.256373872222933,0.208458579573934,0.759950362941456,0.0412688291257172,0.906451981621136
"320","HSY",0.275823802051719,0.258439530563407,0.612060034363895,0.0828050815178625,0.82550463301822
"321","ADM",0.306097479460173,0.232003398899915,0.687674401438009,0.0943798960530352,0.839896651909614
"322","EDU",0.806707127032401,0.0940731050426365,0.877922769379638,0.0390823460780968,0.942599045725731
"323","FMX",0.310176333888402,0.186549721002253,0.759616505544802,0.0254592033824911,0.960684445401243
"324","CLX",0.737633074403819,0.279216285118798,0.552262010932745,0.00745903169551804,0.922413450436249
"325","KR",0.964595216674973,0.289768063483799,0.521508135209231,0.083180856125231,0.61712697911831
